ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.4,0.1,10,10,95.266,76.688,79.13,1,0.52438,0.51159
0.4,0.1,10,100,95.266,76.688,79.13,1,0.66375,0.67495
0.4,0.1,10,1000,95.266,76.688,79.13,1,0.69937,0.71787
0.4,0.1,100,0.1,95.266,76.688,79.13,1,0.48688,0.49942
0.4,0.1,100,1,95.266,76.688,79.13,0.99891,0.49812,0.50333
0.4,0.1,100,10,95.266,76.688,79.13,0.99922,0.51062,0.495
0.4,0.1,100,100,95.266,76.688,79.13,0.99922,0.48438,0.50792
0.4,0.1,100,1000,95.266,76.688,79.13,1,0.49375,0.51
0.4,0.1,1000,0.1,95.266,76.688,79.13,0.49609,0.48125,0.49958
0.4,0.1,1000,1,95.266,76.688,79.13,0.51063,0.5,0.5015
0.4,0.1,1000,10,95.266,76.688,79.13,0.99969,0.51687,0.499
0.4,0.1,1000,100,95.266,76.688,79.13,0.50891,0.48,0.49858
0.4,0.1,1000,1000,95.266,76.688,79.13,0.50875,0.48063,0.49942
0.4,1,0.1,0.1,95.266,76.688,79.13,1,0.49812,0.49958
0.4,1,0.1,1,95.266,76.688,79.13,1,0.51125,0.50717
0.4,1,0.1,10,95.266,76.688,79.13,1,0.69812,0.72237
0.4,1,0.1,100,95.266,76.688,79.13,1,0.70188,0.7282
0.4,1,0.1,1000,95.266,76.688,79.13,1,0.7025,0.72845
0.4,1,1,0.1,95.266,76.688,79.13,1,0.515,0.50875
0.4,1,1,1,95.266,76.688,79.13,1,0.49188,0.49742
0.4,1,1,10,95.266,76.688,79.13,1,0.51375,0.52209
0.4,1,1,100,95.266,76.688,79.13,1,0.69937,0.71945
0.4,1,1,1000,95.266,76.688,79.13,1,0.70125,0.72812
0.4,1,10,0.1,95.266,76.688,79.13,1,0.48625,0.4915
0.4,1,10,1,95.266,76.688,79.13,1,0.4975,0.50608
0.4,1,10,10,95.266,76.688,79.13,1,0.5125,0.50283
0.4,1,10,100,95.266,76.688,79.13,1,0.54875,0.55959
0.4,1,10,1000,95.266,76.688,79.13,1,0.69875,0.71879
0.4,1,100,0.1,95.266,76.688,79.13,0.52063,0.5075,0.50367
0.4,1,100,1,95.266,76.688,79.13,0.51797,0.51,0.49925
0.4,1,100,10,95.266,76.688,79.13,0.50297,0.52187,0.50092
0.4,1,100,100,95.266,76.688,79.13,0.52344,0.49562,0.50317
0.4,1,100,1000,95.266,76.688,79.13,1,0.66438,0.66986
0.4,1,1000,0.1,95.266,76.688,79.13,0.51282,0.49688,0.49758
0.4,1,1000,1,95.266,76.688,79.13,0.51344,0.5125,0.50383
