ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.4,0.1,100,100,95.266,76.688,79.13,0.99984,0.56125,0.53626
0.4,0.1,100,1000,95.266,76.688,79.13,1,0.55312,0.53551
0.4,0.1,1000,0.1,95.266,76.688,79.13,1,0.70562,0.69228
0.4,0.1,1000,1,95.266,76.688,79.13,1,0.6125,0.60818
0.4,0.1,1000,10,95.266,76.688,79.13,0.99047,0.69063,0.70378
0.4,0.1,1000,100,95.266,76.688,79.13,0.99641,0.7275,0.73912
0.4,0.1,1000,1000,95.266,76.688,79.13,0.9914,0.75,0.74804
0.4,1,0.1,0.1,95.266,76.688,79.13,1,0.48187,0.50183
0.4,1,0.1,1,95.266,76.688,79.13,1,0.52438,0.53584
0.4,1,0.1,10,95.266,76.688,79.13,1,0.52125,0.50117
0.4,1,0.1,100,95.266,76.688,79.13,1,0.69188,0.7082
0.4,1,0.1,1000,95.266,76.688,79.13,1,0.70188,0.72804
0.4,1,1,0.1,95.266,76.688,79.13,1,0.705,0.71745
0.4,1,1,1,95.266,76.688,79.13,1,0.75438,0.76729
0.4,1,1,10,95.266,76.688,79.13,1,0.52063,0.50017
0.4,1,1,100,95.266,76.688,79.13,1,0.58688,0.5996
0.4,1,1,1000,95.266,76.688,79.13,1,0.70125,0.7257
0.4,1,10,0.1,95.266,76.688,79.13,1,0.66938,0.69103
0.4,1,10,1,95.266,76.688,79.13,1,0.575,0.56043
0.4,1,10,10,95.266,76.688,79.13,1,0.66063,0.65994
0.4,1,10,100,95.266,76.688,79.13,1,0.70688,0.68586
0.4,1,10,1000,95.266,76.688,79.13,1,0.6,0.60943
0.4,1,100,0.1,95.266,76.688,79.13,1,0.68563,0.69553
0.4,1,100,1,95.266,76.688,79.13,1,0.72688,0.74179
0.4,1,100,10,95.266,76.688,79.13,1,0.67625,0.66603
0.4,1,100,100,95.266,76.688,79.13,1,0.66938,0.66219
0.4,1,100,1000,95.266,76.688,79.13,1,0.765,0.78621
0.4,1,1000,0.1,95.266,76.688,79.13,0.99828,0.68,0.68511
0.4,1,1000,1,95.266,76.688,79.13,0.92779,0.75,0.74271
0.4,1,1000,10,95.266,76.688,79.13,0.99797,0.71437,0.71545
0.4,1,1000,100,95.266,76.688,79.13,0.97656,0.72813,0.69753
0.4,1,1000,1000,95.266,76.688,79.13,0.94342,0.77938,0.78671
0.4,10,0.1,0.1,95.266,76.688,79.13,1,0.81,0.79597
0.4,10,0.1,1,95.266,76.688,79.13,1,0.48063,0.49892
0.4,10,0.1,10,95.266,76.688,79.13,1,0.81063,0.78471
0.4,10,0.1,100,95.266,76.688,79.13,1,0.69125,0.70737
0.4,10,0.1,1000,95.266,76.688,79.13,1,0.47937,0.4985
0.4,10,1,0.1,95.266,76.688,79.13,1,0.74938,0.72804
0.4,10,1,1,95.266,76.688,79.13,1,0.68,0.70662
0.4,10,1,10,95.266,76.688,79.13,1,0.52063,0.50033
0.4,10,1,100,95.266,76.688,79.13,1,0.82937,0.81939
0.4,10,1,1000,95.266,76.688,79.13,1,0.47937,0.49858
0.4,10,10,0.1,95.266,76.688,79.13,1,0.6775,0.69053
0.4,10,10,1,95.266,76.688,79.13,1,0.70437,0.70103
0.4,10,10,10,95.266,76.688,79.13,1,0.75687,0.73021
0.4,10,10,100,95.266,76.688,79.13,1,0.82125,0.81447
0.4,10,10,1000,95.266,76.688,79.13,1,0.48,0.49883
0.4,10,100,0.1,95.266,76.688,79.13,1,0.7075,0.71362
0.4,10,100,1,95.266,76.688,79.13,1,0.70375,0.69895
0.4,10,100,10,95.266,76.688,79.13,0.99984,0.72125,0.71579
0.4,10,100,100,95.266,76.688,79.13,0.99984,0.83188,0.83581
0.4,10,100,1000,95.266,76.688,79.13,0.50969,0.47937,0.49858
0.4,10,1000,0.1,95.266,76.688,79.13,0.95858,0.715,0.71179
0.4,10,1000,1,95.266,76.688,79.13,0.98703,0.71125,0.71245
0.4,10,1000,10,95.266,76.688,79.13,0.96843,0.7125,0.70995
0.4,10,1000,100,95.266,76.688,79.13,0.93482,0.74625,0.73579
0.4,10,1000,1000,95.266,76.688,79.13,0.6899,0.65812,0.67803
0.4,100,0.1,0.1,95.266,76.688,79.13,1,0.54063,0.5245
0.4,100,0.1,1,95.266,76.688,79.13,1,0.48125,0.49892
0.4,100,0.1,10,95.266,76.688,79.13,1,0.48688,0.50642
0.4,100,0.1,100,95.266,76.688,79.13,1,0.52063,0.50042
0.4,100,0.1,1000,95.266,76.688,79.13,1,0.52063,0.50067
0.4,100,1,0.1,95.266,76.688,79.13,1,0.505,0.52117
0.4,100,1,1,95.266,76.688,79.13,1,0.52375,0.50375
0.4,100,1,10,95.266,76.688,79.13,1,0.52187,0.50217
0.4,100,1,100,95.266,76.688,79.13,1,0.47937,0.49858
0.4,100,1,1000,95.266,76.688,79.13,1,0.47937,0.49858
0.4,100,10,0.1,95.266,76.688,79.13,1,0.78812,0.77905
0.4,100,10,1,95.266,76.688,79.13,1,0.60625,0.62044
0.4,100,10,10,95.266,76.688,79.13,1,0.71813,0.72229
0.4,100,10,100,95.266,76.688,79.13,0.51,0.47937,0.49858
0.4,100,10,1000,95.266,76.688,79.13,0.51,0.47937,0.49858
0.4,100,100,0.1,95.266,76.688,79.13,1,0.77187,0.7703
0.4,100,100,1,95.266,76.688,79.13,1,0.7,0.69195
0.4,100,100,10,95.266,76.688,79.13,1,0.78938,0.78855
0.4,100,100,100,95.266,76.688,79.13,0.77368,0.75313,0.75646
0.4,100,100,1000,95.266,76.688,79.13,0.50766,0.47937,0.49858
0.4,100,1000,0.1,95.266,76.688,79.13,0.98265,0.73,0.74779
0.4,100,1000,1,95.266,76.688,79.13,0.96515,0.75,0.74912
0.4,100,1000,10,95.266,76.688,79.13,0.88309,0.785,0.78605
0.4,100,1000,100,95.266,76.688,79.13,0.70585,0.68375,0.69878
0.4,100,1000,1000,95.266,76.688,79.13,0.72179,0.70188,0.71795
0.4,1000,0.1,0.1,95.266,76.688,79.13,1,0.79688,0.80913
0.4,1000,0.1,1,95.266,76.688,79.13,1,0.62875,0.63861
0.4,1000,0.1,10,95.266,76.688,79.13,1,0.47937,0.4985
0.4,1000,0.1,100,95.266,76.688,79.13,1,0.52063,0.50008
0.4,1000,0.1,1000,95.266,76.688,79.13,1,0.48063,0.49875
0.4,1000,1,0.1,95.266,76.688,79.13,1,0.685,0.67236
0.4,1000,1,1,95.266,76.688,79.13,1,0.73125,0.74137
0.4,1000,1,10,95.266,76.688,79.13,0.99797,0.58313,0.60002
0.4,1000,1,100,95.266,76.688,79.13,0.5125,0.47937,0.49858
0.4,1000,1,1000,95.266,76.688,79.13,1,0.47937,0.49875
0.4,1000,10,0.1,95.266,76.688,79.13,1,0.68,0.68503
0.4,1000,10,1,95.266,76.688,79.13,1,0.69375,0.67836
0.4,1000,10,10,95.266,76.688,79.13,0.71913,0.68937,0.7087
0.4,1000,10,100,95.266,76.688,79.13,0.50766,0.47937,0.49858
0.4,1000,10,1000,95.266,76.688,79.13,0.50766,0.47937,0.49858
0.4,1000,100,0.1,95.266,76.688,79.13,0.99984,0.75438,0.74721
0.4,1000,100,1,95.266,76.688,79.13,1,0.735,0.72687
0.4,1000,100,10,95.266,76.688,79.13,0.77696,0.75875,0.75913
0.4,1000,100,100,95.266,76.688,79.13,0.75352,0.7375,0.75388
0.4,1000,100,1000,95.266,76.688,79.13,0.50766,0.47937,0.49858
0.4,1000,1000,0.1,95.266,76.688,79.13,0.608,0.56625,0.57176
0.4,1000,1000,1,95.266,76.688,79.13,0.80353,0.65375,0.66203
0.4,1000,1000,10,95.266,76.688,79.13,0.58425,0.55625,0.56851
0.4,1000,1000,100,95.266,76.688,79.13,0.57315,0.56063,0.56584
0.4,1000,1000,1000,95.266,76.688,79.13,0.73414,0.70375,0.73596
0.2,0.1,0.1,0.1,92.867,81.625,78.021,1,0.72,0.67838
0.2,0.1,0.1,1,92.867,81.625,78.021,1,0.79875,0.7769
0.2,0.1,0.1,10,92.867,81.625,78.021,1,0.47,0.50122
0.2,0.1,0.1,100,92.867,81.625,78.021,1,0.8075,0.79152
0.2,0.1,0.1,1000,92.867,81.625,78.021,1,0.80125,0.77596
0.2,0.1,1,0.1,92.867,81.625,78.021,1,0.64,0.64575
0.2,0.1,1,1,92.867,81.625,78.021,1,0.52875,0.49822
0.2,0.1,1,10,92.867,81.625,78.021,1,0.52875,0.49847
0.2,0.1,1,100,92.867,81.625,78.021,1,0.80125,0.77552
0.2,0.1,1,1000,92.867,81.625,78.021,1,0.80125,0.77596
0.2,0.1,10,0.1,92.867,81.625,78.021,1,0.73875,0.72001
0.2,0.1,10,1,92.867,81.625,78.021,1,0.635,0.62781
0.2,0.1,10,10,92.867,81.625,78.021,1,0.735,0.71826
0.2,0.1,10,100,92.867,81.625,78.021,1,0.53375,0.50397
0.2,0.1,10,1000,92.867,81.625,78.021,1,0.5775,0.5556
0.2,0.1,100,0.1,92.867,81.625,78.021,1,0.76875,0.73833
0.2,0.1,100,1,92.867,81.625,78.021,1,0.61875,0.61737
0.2,0.1,100,10,92.867,81.625,78.021,1,0.66625,0.66331
0.2,0.1,100,100,92.867,81.625,78.021,0.99969,0.72,0.73758
0.2,0.1,100,1000,92.867,81.625,78.021,1,0.5375,0.50978
0.2,0.1,1000,0.1,92.867,81.625,78.021,1,0.63,0.63268
0.2,0.1,1000,1,92.867,81.625,78.021,0.99531,0.71625,0.68569
0.2,0.1,1000,10,92.867,81.625,78.021,0.99531,0.645,0.63581
0.2,0.1,1000,100,92.867,81.625,78.021,0.97093,0.625,0.59086
0.2,0.1,1000,1000,92.867,81.625,78.021,0.985,0.69625,0.67638
0.2,1,0.1,0.1,92.867,81.625,78.021,1,0.68875,0.65806
0.2,1,0.1,1,92.867,81.625,78.021,1,0.55625,0.52679
0.2,1,0.1,10,92.867,81.625,78.021,1,0.5275,0.49909
0.2,1,0.1,100,92.867,81.625,78.021,1,0.8,0.77496
0.2,1,0.1,1000,92.867,81.625,78.021,1,0.80125,0.77583
0.2,1,1,0.1,92.867,81.625,78.021,1,0.54,0.5166
0.2,1,1,1,92.867,81.625,78.021,1,0.75625,0.76308
0.2,1,1,10,92.867,81.625,78.021,1,0.47,0.50047
0.2,1,1,100,92.867,81.625,78.021,1,0.56125,0.53391
0.2,1,1,1000,92.867,81.625,78.021,1,0.8,0.77508
0.2,1,10,0.1,92.867,81.625,78.021,1,0.65875,0.63599
0.2,1,10,1,92.867,81.625,78.021,1,0.76,0.72226
0.2,1,10,10,92.867,81.625,78.021,1,0.65,0.68669
0.2,1,10,100,92.867,81.625,78.021,1,0.47125,0.50172
0.2,1,10,1000,92.867,81.625,78.021,1,0.5275,0.49878
0.2,1,100,0.1,92.867,81.625,78.021,1,0.67875,0.63293
0.2,1,100,1,92.867,81.625,78.021,1,0.73625,0.69932
0.2,1,100,10,92.867,81.625,78.021,1,0.6275,0.64856
0.2,1,100,100,92.867,81.625,78.021,0.99937,0.705,0.67431
0.2,1,100,1000,92.867,81.625,78.021,1,0.80875,0.79227
0.2,1,1000,0.1,92.867,81.625,78.021,0.95811,0.29375,0.32987
0.2,1,1000,1,92.867,81.625,78.021,0.99344,0.73625,0.71901
0.2,1,1000,10,92.867,81.625,78.021,0.98687,0.70125,0.69688
0.2,1,1000,100,92.867,81.625,78.021,0.94748,0.7625,0.7297
0.2,1,1000,1000,92.867,81.625,78.021,0.83745,0.765,0.73745
0.2,10,0.1,0.1,92.867,81.625,78.021,1,0.79125,0.76214
0.2,10,0.1,1,92.867,81.625,78.021,1,0.47,0.50084
0.2,10,0.1,10,92.867,81.625,78.021,1,0.54125,0.56929
0.2,10,0.1,100,92.867,81.625,78.021,1,0.80125,0.77602
0.2,10,0.1,1000,92.867,81.625,78.021,1,0.52875,0.49841
0.2,10,1,0.1,92.867,81.625,78.021,1,0.52125,0.5516
0.2,10,1,1,92.867,81.625,78.021,1,0.56125,0.59524
0.2,10,1,10,92.867,81.625,78.021,1,0.5275,0.49897
0.2,10,1,100,92.867,81.625,78.021,1,0.79,0.76358
0.2,10,1,1000,92.867,81.625,78.021,1,0.47,0.50047
0.2,10,10,0.1,92.867,81.625,78.021,1,0.7125,0.70013
0.2,10,10,1,92.867,81.625,78.021,1,0.69125,0.70501
0.2,10,10,10,92.867,81.625,78.021,1,0.775,0.7412
0.2,10,10,100,92.867,81.625,78.021,1,0.75125,0.71576
0.2,10,10,1000,92.867,81.625,78.021,1,0.52875,0.49828
0.2,10,100,0.1,92.867,81.625,78.021,1,0.7,0.68288
0.2,10,100,1,92.867,81.625,78.021,1,0.6725,0.66713
0.2,10,100,10,92.867,81.625,78.021,1,0.74375,0.70738
0.2,10,100,100,92.867,81.625,78.021,0.99937,0.74125,0.74758
0.2,10,100,1000,92.867,81.625,78.021,0.50266,0.52875,0.49828
0.2,10,1000,0.1,92.867,81.625,78.021,0.94873,0.555,0.54879
0.2,10,1000,1,92.867,81.625,78.021,0.9703,0.69875,0.67325
0.2,10,1000,10,92.867,81.625,78.021,0.91216,0.55875,0.58655
0.2,10,1000,100,92.867,81.625,78.021,0.82182,0.6925,0.65293
0.2,10,1000,1000,92.867,81.625,78.021,0.74898,0.7725,0.74658
0.2,100,0.1,0.1,92.867,81.625,78.021,1,0.47,0.50166
0.2,100,0.1,1,92.867,81.625,78.021,1,0.67375,0.64537
0.2,100,0.1,10,92.867,81.625,78.021,1,0.54,0.51103
0.2,100,0.1,100,92.867,81.625,78.021,1,0.47125,0.50209
0.2,100,0.1,1000,92.867,81.625,78.021,1,0.47,0.50053
0.2,100,1,0.1,92.867,81.625,78.021,1,0.47,0.50147
0.2,100,1,1,92.867,81.625,78.021,1,0.605,0.60368
0.2,100,1,10,92.867,81.625,78.021,1,0.705,0.66919
0.2,100,1,100,92.867,81.625,78.021,1,0.5375,0.50722
0.2,100,1,1000,92.867,81.625,78.021,1,0.52875,0.49828
0.2,100,10,0.1,92.867,81.625,78.021,1,0.68125,0.69369
0.2,100,10,1,92.867,81.625,78.021,1,0.625,0.62199
0.2,100,10,10,92.867,81.625,78.021,1,0.66375,0.649
0.2,100,10,100,92.867,81.625,78.021,0.50266,0.52875,0.49828
0.2,100,10,1000,92.867,81.625,78.021,0.50266,0.52875,0.49828
0.2,100,100,0.1,92.867,81.625,78.021,1,0.69625,0.67269
0.2,100,100,1,92.867,81.625,78.021,0.99969,0.71375,0.69901
0.2,100,100,10,92.867,81.625,78.021,0.86683,0.76375,0.73132
0.2,100,100,100,92.867,81.625,78.021,0.67365,0.69,0.65925
0.2,100,100,1000,92.867,81.625,78.021,0.50109,0.52875,0.49828
0.2,100,1000,0.1,92.867,81.625,78.021,0.86089,0.66625,0.65762
0.2,100,1000,1,92.867,81.625,78.021,0.89747,0.71125,0.70207
0.2,100,1000,10,92.867,81.625,78.021,0.6824,0.65375,0.62655
0.2,100,1000,100,92.867,81.625,78.021,0.73617,0.76625,0.73082
0.2,100,1000,1000,92.867,81.625,78.021,0.75023,0.76875,0.75052
0.2,1000,0.1,0.1,92.867,81.625,78.021,1,0.47,0.50184
0.2,1000,0.1,1,92.867,81.625,78.021,1,0.47125,0.50284
0.2,1000,0.1,10,92.867,81.625,78.021,1,0.47,0.50072
0.2,1000,0.1,100,92.867,81.625,78.021,1,0.47,0.50066
0.2,1000,0.1,1000,92.867,81.625,78.021,1,0.58375,0.56967
0.2,1000,1,0.1,92.867,81.625,78.021,1,0.685,0.6635
0.2,1000,1,1,92.867,81.625,78.021,1,0.7925,0.76527
0.2,1000,1,10,92.867,81.625,78.021,0.50359,0.52875,0.49828
0.2,1000,1,100,92.867,81.625,78.021,0.50266,0.52875,0.49828
0.2,1000,1,1000,92.867,81.625,78.021,0.51297,0.52875,0.49828
0.2,1000,10,0.1,92.867,81.625,78.021,1,0.5825,0.6098
0.2,1000,10,1,92.867,81.625,78.021,1,0.82375,0.79546
0.2,1000,10,10,92.867,81.625,78.021,0.70116,0.7275,0.69482
0.2,1000,10,100,92.867,81.625,78.021,0.50109,0.52875,0.49828
0.2,1000,10,1000,92.867,81.625,78.021,0.50109,0.52875,0.49828
0.2,1000,100,0.1,92.867,81.625,78.021,0.99969,0.585,0.56423
0.2,1000,100,1,92.867,81.625,78.021,0.95405,0.71,0.71357
0.2,1000,100,10,92.867,81.625,78.021,0.68334,0.71125,0.67256
0.2,1000,100,100,92.867,81.625,78.021,0.7643,0.78875,0.76739
0.2,1000,100,1000,92.867,81.625,78.021,0.50109,0.52875,0.49828
0.2,1000,1000,0.1,92.867,81.625,78.021,0.6502,0.6275,0.60911
0.2,1000,1000,1,92.867,81.625,78.021,0.52204,0.54625,0.51472
0.2,1000,1000,10,92.867,81.625,78.021,0.70741,0.715,0.69663
0.2,1000,1000,100,92.867,81.625,78.021,0.74054,0.785,0.73764
0.2,1000,1000,1000,92.867,81.625,78.021,0.71835,0.74,0.71401
0.1,0.1,0.1,0.1,90.543,76,77.507,1,0.67,0.672
0.1,0.1,0.1,1,90.543,76,77.507,1,0.4475,0.50058
0.1,0.1,0.1,10,90.543,76,77.507,1,0.4625,0.50853
