ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.2,1000,1,1,97.463,90.454,90.18,1,0.88053,0.87883
0.2,1000,1,10,97.463,90.454,90.18,1,0.66151,0.66067
0.2,1000,1,100,97.463,90.454,90.18,1,0.88888,0.89095
0.2,1000,1,1000,97.463,90.454,90.18,1,0.92102,0.92001
0.2,1000,10,1,97.463,90.454,90.18,1,0.87712,0.87494
0.2,1000,10,10,97.463,90.454,90.18,1,0.76009,0.75778
0.2,1000,10,100,97.463,90.454,90.18,0.9633,0.90507,0.90333
0.2,1000,10,1000,97.463,90.454,90.18,0.90604,0.75231,0.74995
0.2,1000,100,1,97.463,90.454,90.18,0.99972,0.83176,0.83302
0.2,1000,100,10,97.463,90.454,90.18,0.99997,0.8759,0.87561
0.2,1000,100,100,97.463,90.454,90.18,0.86859,0.84018,0.83763
0.2,1000,100,1000,97.463,90.454,90.18,0.90855,0.90758,0.90399
0.2,1000,1000,1,97.463,90.454,90.18,0.54625,0.53257,0.5364
0.2,1000,1000,10,97.463,90.454,90.18,0.75559,0.70064,0.69905
0.2,1000,1000,100,97.463,90.454,90.18,0.84103,0.83211,0.82897
0.2,1000,1000,1000,97.463,90.454,90.18,0.82574,0.82527,0.8253
0.1,1,1,1,97.191,90.411,90.064,1,0.85731,0.85551
0.1,1,1,10,97.191,90.411,90.064,1,0.76521,0.76709
0.1,1,1,100,97.191,90.411,90.064,1,0.88705,0.88474
0.1,1,1,1000,97.191,90.411,90.064,1,0.9269,0.92356
0.1,1,10,1,97.191,90.411,90.064,1,0.87286,0.86914
0.1,1,10,10,97.191,90.411,90.064,1,0.78901,0.78803
0.1,1,10,100,97.191,90.411,90.064,1,0.6046,0.60347
0.1,1,10,1000,97.191,90.411,90.064,1,0.9231,0.91962
0.1,1,100,1,97.191,90.411,90.064,1,0.61435,0.61444
0.1,1,100,10,97.191,90.411,90.064,1,0.65348,0.64886
0.1,1,100,100,97.191,90.411,90.064,0.99937,0.64115,0.63737
0.1,1,100,1000,97.191,90.411,90.064,0.99961,0.74923,0.74922
0.1,1,1000,1,97.191,90.411,90.064,1,0.57041,0.57397
0.1,1,1000,10,97.191,90.411,90.064,0.99746,0.89988,0.89733
0.1,1,1000,100,97.191,90.411,90.064,0.99226,0.81373,0.81098
0.1,1,1000,1000,97.191,90.411,90.064,0.96078,0.89443,0.88878
0.1,10,1,1,97.191,90.411,90.064,1,0.85007,0.85024
0.1,10,1,10,97.191,90.411,90.064,1,0.71533,0.71905
0.1,10,1,100,97.191,90.411,90.064,1,0.90239,0.89794
0.1,10,1,1000,97.191,90.411,90.064,1,0.9274,0.92371
0.1,10,10,1,97.191,90.411,90.064,1,0.83889,0.83941
0.1,10,10,10,97.191,90.411,90.064,1,0.81036,0.80979
0.1,10,10,100,97.191,90.411,90.064,1,0.76521,0.76173
