ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.1,10,1,1000,92.071,80.557,80.954,1,0.61429,0.60581
0.1,10,10,1,92.071,80.557,80.954,1,0.73057,0.73647
0.1,10,10,10,92.071,80.557,80.954,1,0.70443,0.70707
0.1,10,10,100,92.071,80.557,80.954,1,0.38629,0.39459
0.1,10,10,1000,92.071,80.557,80.954,1,0.61429,0.60581
0.1,10,100,1,92.071,80.557,80.954,0.9995,0.55629,0.5601
0.1,10,100,10,92.071,80.557,80.954,0.998,0.61986,0.62326
0.1,10,100,100,92.071,80.557,80.954,0.99371,0.74629,0.7522
0.1,10,100,1000,92.071,80.557,80.954,0.98882,0.77057,0.77851
0.1,10,1000,1,92.071,80.557,80.954,0.98543,0.82871,0.83261
0.1,10,1000,10,92.071,80.557,80.954,0.90564,0.80543,0.8158
0.1,10,1000,100,92.071,80.557,80.954,0.83236,0.79614,0.7975
0.1,10,1000,1000,92.071,80.557,80.954,0.76654,0.76471,0.7581
0.1,100,1,1,92.071,80.557,80.954,1,0.73529,0.7388
0.1,100,1,10,92.071,80.557,80.954,1,0.38543,0.39094
0.1,100,1,100,92.071,80.557,80.954,1,0.61957,0.61109
0.1,100,1,1000,92.071,80.557,80.954,1,0.61429,0.60581
0.1,100,10,1,92.071,80.557,80.954,1,0.73371,0.73677
0.1,100,10,10,92.071,80.557,80.954,1,0.745,0.74847
0.1,100,10,100,92.071,80.557,80.954,1,0.73314,0.72676
0.1,100,10,1000,92.071,80.557,80.954,0.60925,0.61429,0.60581
0.1,100,100,1,92.071,80.557,80.954,0.99614,0.62171,0.61911
0.1,100,100,10,92.071,80.557,80.954,0.96286,0.666,0.66351
0.1,100,100,100,92.071,80.557,80.954,0.72425,0.71743,0.71723
0.1,100,100,1000,92.071,80.557,80.954,0.61321,0.618,0.60988
0.1,100,1000,1,92.071,80.557,80.954,0.97843,0.76971,0.77045
0.1,100,1000,10,92.071,80.557,80.954,0.872,0.81514,0.81911
0.1,100,1000,100,92.071,80.557,80.954,0.69504,0.694,0.6951
0.1,100,1000,1000,92.071,80.557,80.954,0.72914,0.72386,0.72914
0.1,1000,1,1,92.071,80.557,80.954,1,0.60629,0.60987
0.1,1000,1,10,92.071,80.557,80.954,1,0.64557,0.64061
0.1,1000,1,100,92.071,80.557,80.954,0.60925,0.61429,0.60581
0.1,1000,1,1000,92.071,80.557,80.954,1,0.61429,0.60581
0.1,1000,10,1,92.071,80.557,80.954,1,0.611,0.6009
0.1,1000,10,10,92.071,80.557,80.954,1,0.72443,0.72375
0.1,1000,10,100,92.071,80.557,80.954,0.61375,0.61729,0.60982
0.1,1000,10,1000,92.071,80.557,80.954,0.60925,0.61429,0.60581
0.1,1000,100,1,92.071,80.557,80.954,0.98779,0.65743,0.6577
0.1,1000,100,10,92.071,80.557,80.954,0.99943,0.70414,0.7007
0.1,1000,100,100,92.071,80.557,80.954,0.697,0.69586,0.69731
0.1,1000,100,1000,92.071,80.557,80.954,0.61057,0.61571,0.6072
0.1,1000,1000,1,92.071,80.557,80.954,0.85643,0.80986,0.81518
0.1,1000,1000,10,92.071,80.557,80.954,0.81429,0.723,0.71814
0.1,1000,1000,100,92.071,80.557,80.954,0.69032,0.683,0.68464
0.1,1000,1000,1000,92.071,80.557,80.954,0.7575,0.75543,0.75879
0.05,1,1,1,91.825,80.886,79.952,1,0.78657,0.78938
0.05,1,1,10,91.825,80.886,79.952,1,0.77457,0.75682
0.05,1,1,100,91.825,80.886,79.952,1,0.61571,0.60661
0.05,1,1,1000,91.825,80.886,79.952,1,0.61571,0.60611
0.05,1,10,1,91.825,80.886,79.952,1,0.73914,0.73164
0.05,1,10,10,91.825,80.886,79.952,1,0.65714,0.66694
0.05,1,10,100,91.825,80.886,79.952,1,0.782,0.77904
0.05,1,10,1000,91.825,80.886,79.952,1,0.66714,0.65437
0.05,1,100,1,91.825,80.886,79.952,0.99993,0.728,0.72639
0.05,1,100,10,91.825,80.886,79.952,0.99964,0.59543,0.58252
0.05,1,100,100,91.825,80.886,79.952,0.99471,0.79943,0.79918
0.05,1,100,1000,91.825,80.886,79.952,0.99871,0.80371,0.79676
0.05,1,1000,1,91.825,80.886,79.952,0.9885,0.79286,0.78653
0.05,1,1000,10,91.825,80.886,79.952,0.93671,0.77457,0.76569
0.05,1,1000,100,91.825,80.886,79.952,0.86543,0.80743,0.8027
0.05,1,1000,1000,91.825,80.886,79.952,0.78479,0.76829,0.76934
0.05,10,1,1,91.825,80.886,79.952,1,0.60514,0.60029
0.05,10,1,10,91.825,80.886,79.952,1,0.76486,0.76138
0.05,10,1,100,91.825,80.886,79.952,1,0.61943,0.61201
0.05,10,1,1000,91.825,80.886,79.952,1,0.61571,0.60611
0.05,10,10,1,91.825,80.886,79.952,1,0.69171,0.68785
0.05,10,10,10,91.825,80.886,79.952,1,0.57829,0.57431
0.05,10,10,100,91.825,80.886,79.952,1,0.36229,0.37285
0.05,10,10,1000,91.825,80.886,79.952,0.99993,0.61571,0.60611
0.05,10,100,1,91.825,80.886,79.952,0.99971,0.46,0.45925
0.05,10,100,10,91.825,80.886,79.952,0.99814,0.43914,0.44218
0.05,10,100,100,91.825,80.886,79.952,0.92886,0.80771,0.81122
0.05,10,100,1000,91.825,80.886,79.952,0.61421,0.61971,0.61101
0.05,10,1000,1,91.825,80.886,79.952,0.98029,0.79057,0.79595
0.05,10,1000,10,91.825,80.886,79.952,0.885,0.78771,0.78685
0.05,10,1000,100,91.825,80.886,79.952,0.80121,0.79171,0.78514
0.05,10,1000,1000,91.825,80.886,79.952,0.75929,0.76114,0.75283
0.05,100,1,1,91.825,80.886,79.952,1,0.66857,0.67546
0.05,100,1,10,91.825,80.886,79.952,1,0.662,0.65707
0.05,100,1,100,91.825,80.886,79.952,1,0.62571,0.61934
0.05,100,1,1000,91.825,80.886,79.952,1,0.61571,0.60611
0.05,100,10,1,91.825,80.886,79.952,1,0.68486,0.68632
0.05,100,10,10,91.825,80.886,79.952,1,0.68143,0.6821
0.05,100,10,100,91.825,80.886,79.952,0.63643,0.61886,0.61305
0.05,100,10,1000,91.825,80.886,79.952,0.60729,0.61571,0.60611
0.05,100,100,1,91.825,80.886,79.952,0.97243,0.71457,0.70933
0.05,100,100,10,91.825,80.886,79.952,0.98871,0.72371,0.71291
0.05,100,100,100,91.825,80.886,79.952,0.8165,0.71143,0.71469
0.05,100,100,1000,91.825,80.886,79.952,0.6085,0.61629,0.60715
0.05,100,1000,1,91.825,80.886,79.952,0.83279,0.76429,0.76304
0.05,100,1000,10,91.825,80.886,79.952,0.82314,0.75714,0.75565
0.05,100,1000,100,91.825,80.886,79.952,0.76471,0.76114,0.75758
0.05,100,1000,1000,91.825,80.886,79.952,0.73214,0.73571,0.72906
0.05,1000,1,1,91.825,80.886,79.952,1,0.75657,0.75987
0.05,1000,1,10,91.825,80.886,79.952,1,0.81286,0.79745
0.05,1000,1,100,91.825,80.886,79.952,0.60729,0.61571,0.60611
0.05,1000,1,1000,91.825,80.886,79.952,1,0.61571,0.60611
0.05,1000,10,1,91.825,80.886,79.952,1,0.72886,0.71745
0.05,1000,10,10,91.825,80.886,79.952,1,0.57029,0.55942
0.05,1000,10,100,91.825,80.886,79.952,0.60829,0.61629,0.60694
0.05,1000,10,1000,91.825,80.886,79.952,0.60729,0.61571,0.60611
0.05,1000,100,1,91.825,80.886,79.952,0.99771,0.44914,0.45522
0.05,1000,100,10,91.825,80.886,79.952,0.98957,0.63914,0.61188
0.05,1000,100,100,91.825,80.886,79.952,0.7415,0.74429,0.73355
0.05,1000,100,1000,91.825,80.886,79.952,0.61479,0.62286,0.61347
0.05,1000,1000,1,91.825,80.886,79.952,0.74107,0.71686,0.70088
0.05,1000,1000,10,91.825,80.886,79.952,0.63971,0.64429,0.63425
0.05,1000,1000,100,91.825,80.886,79.952,0.72314,0.72543,0.71473
0.05,1000,1000,1000,91.825,80.886,79.952,0.73593,0.73629,0.72888
0.01,1,1,1,90.848,59.143,62.87,1,0.64286,0.68151
0.01,1,1,10,90.848,59.143,62.87,1,0.4,0.3708
0.01,1,1,100,90.848,59.143,62.87,1,0.43429,0.39371
0.01,1,1,1000,90.848,59.143,62.87,1,0.56571,0.60629
0.01,1,10,1,90.848,59.143,62.87,1,0.65857,0.68535
0.01,1,10,10,90.848,59.143,62.87,0.99321,0.68714,0.7045
0.01,1,10,100,90.848,59.143,62.87,1,0.63571,0.63083
0.01,1,10,1000,90.848,59.143,62.87,1,0.56571,0.60629
0.01,1,100,1,90.848,59.143,62.87,0.99679,0.63286,0.67453
0.01,1,100,10,90.848,59.143,62.87,0.98286,0.60857,0.61729
0.01,1,100,100,90.848,59.143,62.87,0.86571,0.67857,0.69867
0.01,1,100,1000,90.848,59.143,62.87,1,0.72714,0.75874
0.01,1,1000,1,90.848,59.143,62.87,0.97179,0.74429,0.77212
0.01,1,1000,10,90.848,59.143,62.87,0.99714,0.55143,0.52509
0.01,1,1000,100,90.848,59.143,62.87,0.78571,0.73714,0.77686
0.01,1,1000,1000,90.848,59.143,62.87,0.74179,0.71143,0.74738
0.01,10,1,1,90.848,59.143,62.87,1,0.71143,0.74747
0.01,10,1,10,90.848,59.143,62.87,1,0.76429,0.75544
0.01,10,1,100,90.848,59.143,62.87,1,0.56571,0.60648
0.01,10,1,1000,90.848,59.143,62.87,1,0.56571,0.60629
0.01,10,10,1,90.848,59.143,62.87,1,0.68571,0.67295
0.01,10,10,10,90.848,59.143,62.87,1,0.32571,0.31788
0.01,10,10,100,90.848,59.143,62.87,1,0.66429,0.68243
0.01,10,10,1000,90.848,59.143,62.87,0.61214,0.56571,0.60629
0.01,10,100,1,90.848,59.143,62.87,0.98036,0.69857,0.7093
0.01,10,100,10,90.848,59.143,62.87,0.99107,0.56286,0.56116
0.01,10,100,100,90.848,59.143,62.87,0.7,0.64857,0.69231
0.01,10,100,1000,90.848,59.143,62.87,0.61214,0.56714,0.60674
0.01,10,1000,1,90.848,59.143,62.87,0.93643,0.80571,0.82119
0.01,10,1000,10,90.848,59.143,62.87,0.81143,0.75143,0.75157
0.01,10,1000,100,90.848,59.143,62.87,0.7675,0.66286,0.66521
0.01,10,1000,1000,90.848,59.143,62.87,0.64321,0.61286,0.64438
0.01,100,1,1,90.848,59.143,62.87,1,0.56286,0.51349
0.01,100,1,10,90.848,59.143,62.87,1,0.61857,0.6375
0.01,100,1,100,90.848,59.143,62.87,0.61214,0.56571,0.60629
0.01,100,1,1000,90.848,59.143,62.87,1,0.56571,0.60629
