alpha,beta,nn,test_acc,vali_acc
10.0,0.2,2,0.975542857143,0.974857142857
10.0,0.2,3,0.973157142857,0.972107142857
10.0,0.2,4,0.974071428571,0.973071428571
10.0,2.0,1,0.973285714286,0.973267857143
10.0,2.0,2,0.975342857143,0.974767857143
10.0,2.0,3,0.972528571429,0.972071428571
10.0,2.0,4,0.973457142857,0.972803571429
10.0,20.0,1,0.970242857143,0.969571428571
10.0,20.0,2,0.972628571429,0.971214285714
10.0,20.0,3,0.968771428571,0.968303571429
10.0,20.0,4,0.970242857143,0.970053571429
10.0,200.0,1,0.971528571429,0.970964285714
10.0,200.0,2,0.973814285714,0.97225
10.0,200.0,3,0.970157142857,0.969142857143
10.0,200.0,4,0.971514285714,0.970321428571
100.0,0.2,1,0.973328571429,0.972910714286
100.0,0.2,2,0.975585714286,0.974875
100.0,0.2,3,0.973142857143,0.972125
100.0,0.2,4,0.974057142857,0.973053571429
100.0,2.0,1,0.973271428571,0.972892857143
100.0,2.0,2,0.975428571429,0.974785714286
100.0,2.0,3,0.973142857143,0.972053571429
100.0,2.0,4,0.974128571429,0.973089285714
100.0,20.0,1,0.973285714286,0.973285714286
100.0,20.0,2,0.9754,0.974785714286
100.0,20.0,3,0.972714285714,0.972053571429
100.0,20.0,4,0.973414285714,0.972660714286
100.0,200.0,1,0.970142857143,0.969607142857
100.0,200.0,2,0.972628571429,0.971125
100.0,200.0,3,0.9687,0.968160714286
100.0,200.0,4,0.970328571429,0.970035714286
