alpha,beta,nn,test_acc,vali_acc
0.1,200,1,0.9226415635245995,0.929625913716497
0.1,200,2,0.9153568642598592,0.9204529167263867
0.1,200,3,0.9342672072352092,0.9400888634083417
0.1,200,4,0.9300696029778547,0.9336390998996703
1,0.2,1,0.9403810434863955,0.9452486742152788
1,0.2,2,0.9361411915945314,0.9406621757202236
1,0.2,3,0.9495170944491135,0.9516984377239501
1,0.2,4,0.9476702692834047,0.9514117815680092
1,2,1,0.9472040364597086,0.9456786584491902
1,2,2,0.9440596053769168,0.9449620180593378
1,2,3,0.9554755197590677,0.9555682958291529
1,2,4,0.9542805152400797,0.9545649992833596
1,20,1,0.9226958819118262,0.9287659452486742
1,20,2,0.9154126914911755,0.9208829009602981
1,20,3,0.9345614318326873,0.9392288949405189
1,20,4,0.930297438435389,0.9340690841335818
1,200,1,0.9225842274491934,0.9297692417944675
1,200,2,0.9155258547978978,0.9208829009602981
1,200,3,0.9342988929610915,0.9395155510964598
1,200,4,0.9300017049938213,0.9334957718216998
10,0.2,1,0.9404549768467875,0.9445320338254264
10,0.2,2,0.9361743861645032,0.9399455353303712
10,0.2,3,0.9495593420836231,0.9527017342697435
10,0.2,4,0.9475721944175787,0.9499785007883045
10,2,1,0.9406994095893078,0.9439587215135445
10,2,2,0.9365863006009726,0.9399455353303712
10,2,3,0.9499048673801488,0.9509817973340977
10,2,4,0.9480112680476613,0.9498351727103339
10,20,1,0.9496906115194211,0.9506951411781568
10,20,2,0.9463062742263779,0.9456786584491902
10,20,3,0.9571639162953652,0.9575748889207396
10,20,4,0.9560413362926795,0.9565715923749463
10,200,1,0.9227502002990529,0.9289092733266446
10,200,2,0.9154504125934163,0.9210262290382686
10,200,3,0.9344950426927435,0.9390855668625484
10,200,4,0.9302748057740445,0.9339257560556113
100,0.2,1,0.9405032598576556,0.9448186899813673
100,0.2,2,0.9361894746053996,0.9400888634083417
100,0.2,3,0.9495321828900098,0.952558406191773
100,0.2,4,0.9475752121057579,0.9498351727103339
100,2,1,0.9404926979490282,0.9439587215135445
100,2,2,0.9362528460571641,0.9400888634083417
100,2,3,0.9495216209813824,0.9524150781138025
100,2,4,0.9475933182348335,0.9499785007883045
100,20,1,0.9409966518749651,0.944102049591515
100,20,2,0.9367945210853418,0.940805503798194
100,20,3,0.9499380619501206,0.9514117815680092
100,20,4,0.948000706139034,0.9496918446323634
100,200,1,0.9499305177296725,0.9509817973340977
100,200,2,0.9466050253561249,0.946825283072954
100,200,3,0.9573419598979418,0.9575748889207396
100,200,4,0.9562827513470206,0.9564282642969758
0.1,0.2,1,0.9434745977317214,0.9440980434315202
0.1,0.2,2,0.939897463993744,0.9423063140543252
0.1,0.2,3,0.9521450857413156,0.954275066293987
0.1,0.2,4,0.9504265962919489,0.9523399985666166
0.1,2,1,0.9271879683441183,0.9290475166630832
0.1,2,2,0.9191656964660275,0.921450584103777
0.1,2,3,0.9383589460993156,0.9390812011753745
0.1,2,4,0.934531763386778,0.9361427649967748
0.1,20,1,0.9270414428303633,0.9286175016125564
0.1,20,2,0.9195606782857152,0.9228839676055328
0.1,20,3,0.9379878543090446,0.9377911560237941
0.1,20,4,0.9341367815670903,0.9357844191213359
0.1,200,1,0.9270796668774298,0.9281874865620297
0.1,200,2,0.9197295011602591,0.9219522683293915
0.1,200,3,0.9379384815815837,0.9382211710743209
0.1,200,4,0.9341781909514124,0.9359277574715115
1,0.2,1,0.9436163452395931,0.9426646599297642
1,0.2,2,0.9397939405329387,0.9413746147781838
1,0.2,3,0.9518918514294997,0.9550634272199527
1,0.2,4,0.950552417113543,0.9524833369167921
1,2,1,0.9487861476053431,0.9521966602164409
1,2,2,0.9458078572714083,0.9509066150648606
1,2,3,0.9569883910383722,0.9590769010248692
1,2,4,0.9558241502714704,0.9594352469003081
1,20,1,0.9271290396048908,0.9282591557371175
1,20,2,0.919352038695477,0.9222389450297427
1,20,3,0.9380356343678777,0.9377911560237941
1,20,4,0.9340714821533517,0.9356410807711604
