alpha,beta,nn,test_acc,vali_acc
0.1,200.0,2,0.862105263158,0.857142857143
0.1,200.0,3,0.87984962406,0.857142857143
0.1,200.0,4,0.880601503759,0.885714285714
1.0,0.2,1,0.901052631579,0.928571428571
1.0,0.2,2,0.904661654135,0.9
1.0,0.2,3,0.913533834586,0.914285714286
1.0,0.2,4,0.917593984962,0.9
1.0,2.0,1,0.907819548872,0.842857142857
1.0,2.0,2,0.892330827068,0.842857142857
1.0,2.0,3,0.911578947368,0.857142857143
1.0,2.0,4,0.904812030075,0.885714285714
1.0,20.0,1,0.850526315789,0.828571428571
1.0,20.0,2,0.84015037594,0.857142857143
1.0,20.0,3,0.856992481203,0.857142857143
1.0,20.0,4,0.86,0.857142857143
1.0,200.0,1,0.864661654135,0.828571428571
1.0,200.0,2,0.860751879699,0.857142857143
1.0,200.0,3,0.878045112782,0.857142857143
1.0,200.0,4,0.88,0.885714285714
10.0,0.2,1,0.897142857143,0.928571428571
10.0,0.2,2,0.902406015038,0.885714285714
10.0,0.2,3,0.910977443609,0.914285714286
10.0,0.2,4,0.913984962406,0.885714285714
10.0,2.0,1,0.897443609023,0.942857142857
10.0,2.0,2,0.903759398496,0.885714285714
10.0,2.0,3,0.910676691729,0.914285714286
10.0,2.0,4,0.914586466165,0.885714285714
10.0,20.0,1,0.906466165414,0.871428571429
10.0,20.0,2,0.897142857143,0.828571428571
10.0,20.0,3,0.916240601504,0.871428571429
10.0,20.0,4,0.909172932331,0.857142857143
10.0,200.0,1,0.853533834586,0.828571428571
10.0,200.0,2,0.846466165414,0.828571428571
10.0,200.0,3,0.864511278195,0.842857142857
10.0,200.0,4,0.865413533835,0.857142857143
100.0,0.2,1,0.897894736842,0.928571428571
100.0,0.2,2,0.901052631579,0.885714285714
100.0,0.2,3,0.911729323308,0.914285714286
100.0,0.2,4,0.913834586466,0.871428571429
100.0,2.0,1,0.897894736842,0.928571428571
100.0,2.0,2,0.901353383459,0.885714285714
100.0,2.0,3,0.911428571429,0.914285714286
100.0,2.0,4,0.913834586466,0.871428571429
100.0,20.0,1,0.897142857143,0.928571428571
100.0,20.0,2,0.902556390977,0.885714285714
100.0,20.0,3,0.911578947368,0.914285714286
100.0,20.0,4,0.914887218045,0.871428571429
100.0,200.0,1,0.906616541353,0.871428571429
100.0,200.0,2,0.895939849624,0.828571428571
100.0,200.0,3,0.915488721805,0.885714285714
100.0,200.0,4,0.907969924812,0.857142857143
0.1,0.2,1,0.920476190476,0.928571428571
0.1,0.2,2,0.906507936508,0.935714285714
0.1,0.2,3,0.930952380952,0.928571428571
0.1,0.2,4,0.92746031746,0.95
0.1,2.0,1,0.856031746032,0.857142857143
0.1,2.0,2,0.838253968254,0.835714285714
0.1,2.0,3,0.873015873016,0.871428571429
0.1,2.0,4,0.862222222222,0.885714285714
0.1,20.0,1,0.895238095238,0.9
0.1,20.0,2,0.874603174603,0.892857142857
0.1,20.0,3,0.907619047619,0.95
0.1,20.0,4,0.900952380952,0.95
0.1,200.0,1,0.89746031746,0.892857142857
0.1,200.0,2,0.87746031746,0.9
