alpha,beta,nn,test_acc,vali_acc
100,0.2,1,0.919076479076479,0.9042857142857142
100,0.2,2,0.9184704184704184,0.9128571428571428
100,0.2,3,0.9147994227994228,0.9114285714285715
100,0.2,4,0.9141414141414141,0.9142857142857143
100,2,1,0.9191226551226551,0.9042857142857142
100,2,2,0.9184502164502164,0.9128571428571428
100,2,3,0.9146262626262627,0.91
100,2,4,0.9140375180375181,0.9142857142857143
100,20,1,0.9187936507936508,0.9071428571428571
100,20,2,0.9182712842712842,0.9157142857142857
100,20,3,0.9139393939393939,0.9128571428571428
100,20,4,0.91197113997114,0.9114285714285715
100,200,1,0.9121760461760462,0.9057142857142857
100,200,2,0.9102683982683982,0.9157142857142857
100,200,3,0.9033217893217893,0.8885714285714286
100,200,4,0.9053852813852814,0.9042857142857142
0.1,0.2,1,0.9461684210526315,0.948
0.1,0.2,2,0.9477413533834587,0.9474285714285714
0.1,0.2,3,0.9438887218045113,0.9434285714285714
0.1,0.2,4,0.9455488721804511,0.9468571428571428
0.1,2,1,0.9413022556390978,0.9468571428571428
0.1,2,2,0.9437022556390977,0.946
0.1,2,3,0.9371368421052632,0.946
0.1,2,4,0.9394375939849624,0.9445714285714286
0.1,20,1,0.9424601503759399,0.948
0.1,20,2,0.9447097744360903,0.9457142857142857
0.1,20,3,0.9385894736842105,0.9465714285714286
0.1,20,4,0.9405353383458647,0.9448571428571428
0.1,200,1,0.9426375939849624,0.948
0.1,200,2,0.944775939849624,0.946
0.1,200,3,0.9387548872180451,0.9468571428571428
0.1,200,4,0.9406406015037594,0.9451428571428572
1,0.2,1,0.946,0.9462857142857143
1,0.2,2,0.9478285714285715,0.946
1,0.2,3,0.9434436090225564,0.9417142857142857
1,0.2,4,0.9449353383458646,0.9434285714285714
1,2,1,0.9458165413533834,0.95
1,2,2,0.948384962406015,0.9474285714285714
1,2,3,0.9428360902255639,0.9465714285714286
1,2,4,0.9450105263157895,0.9468571428571428
1,20,1,0.941975939849624,0.9474285714285714
1,20,2,0.944396992481203,0.9457142857142857
1,20,3,0.9381413533834586,0.9457142857142857
1,20,4,0.9401022556390978,0.9448571428571428
1,200,1,0.9425804511278195,0.948
1,200,2,0.9447458646616541,0.9457142857142857
1,200,3,0.9387037593984963,0.9465714285714286
1,200,4,0.9406375939849624,0.9451428571428572
10,0.2,1,0.9460390977443609,0.9448571428571428
10,0.2,2,0.9477834586466165,0.944
10,0.2,3,0.9433293233082707,0.942
10,0.2,4,0.9448691729323309,0.9431428571428572
10,2,1,0.9457203007518797,0.9454285714285714
10,2,2,0.947603007518797,0.9445714285714286
10,2,3,0.9433112781954888,0.944
10,2,4,0.9448541353383458,0.9445714285714286
10,20,1,0.9397624060150376,0.9382857142857143
10,20,2,0.9425714285714286,0.9462857142857143
